product_id,product_orders,product_reorder_rate
1,1852,0.6133909287257019
2,90,0.13333333333333333
3,277,0.7328519855595668
4,329,0.44680851063829785
5,15,0.6
6,8,0.375
7,30,0.4
8,165,0.503030303030303
9,156,0.5256410256410257
10,2572,0.5069984447900466
11,104,0.5673076923076923
12,246,0.5121951219512195
13,9,0.3333333333333333
14,17,0.11764705882352941
15,4,0.25
16,19,0.10526315789473684
17,18,0.1111111111111111
18,137,0.5985401459854015
19,4,0.0
20,6,0.16666666666666666
21,10,0.2
22,43,0.4418604651162791
23,1068,0.448501872659176
24,13,0.46153846153846156
25,2166,0.6421975992613111
26,334,0.7395209580838323
27,184,0.41847826086956524
28,706,0.5226628895184136
29,218,0.37155963302752293
30,81,0.4567901234567901
31,96,0.16666666666666666
32,543,0.6758747697974218
33,32,0.4375
34,6536,0.6009791921664627
35,311,0.33440514469453375
36,129,0.27906976744186046
37,769,0.4187256176853056
38,17,0.058823529411764705
39,9,0.2222222222222222
40,79,0.569620253164557
41,49,0.6530612244897959
42,13,0.07692307692307693
43,221,0.15384615384615385
44,391,0.5805626598465473
45,18413,0.6554608157280183
46,151,0.7682119205298014
47,333,0.5345345345345346
48,10,0.0
49,2308,0.574523396880416
50,287,0.3797909407665505
51,7,0.14285714285714285
52,28,0.6071428571428571
53,151,0.45695364238410596
54,1095,0.5689497716894977
55,40,0.15
56,30,0.26666666666666666
57,157,0.03184713375796178
58,69,0.43478260869565216
59,28,0.35714285714285715
60,51,0.2549019607843137
61,17,0.23529411764705882
62,27,0.2962962962962963
63,1129,0.4738706820194863
64,20,0.4
65,157,0.29936305732484075
66,236,0.5296610169491526
67,41,0.1951219512195122
68,62,0.3709677419354839
69,19,0.2631578947368421
70,155,0.0967741935483871
71,37,0.21621621621621623
72,13,0.15384615384615385
73,29,0.27586206896551724
74,180,0.36666666666666664
75,102,0.24509803921568626
76,3,0.0
77,298,0.6342281879194631
78,11,0.2727272727272727
79,3585,0.5344490934449093
80,4,0.0
81,43,0.5813953488372093
82,35,0.2857142857142857
83,594,0.49158249158249157
84,124,0.21774193548387097
85,4,0.0
86,130,0.49230769230769234
87,747,0.3668005354752343
88,18,0.3333333333333333
89,34,0.29411764705882354
90,47,0.5106382978723404
91,5,0.4
92,5,0.0
93,1843,0.6310363537710255
94,879,0.6837315130830489
95,2787,0.1478292070326516
96,198,0.10101010101010101
97,168,0.27380952380952384
98,39,0.48717948717948717
99,646,0.5804953560371517
100,437,0.5606407322654462
101,177,0.6666666666666666
102,185,0.1891891891891892
103,8,0.375
104,100,0.35
105,18,0.0
106,498,0.5642570281124498
107,60,0.55
108,145,0.6413793103448275
109,51,0.5686274509803921
110,14,0.35714285714285715
111,93,0.34408602150537637
112,63,0.20634920634920634
113,106,0.3113207547169811
114,35,0.11428571428571428
115,388,0.5850515463917526
116,4359,0.6958017894012388
117,3636,0.827007700770077
118,216,0.48148148148148145
119,30,0.3
120,14,0.14285714285714285
